City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
233,Pauini,BR,76.71,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
235,Bambous Virieux,MU,75.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
240,Buchanan,LR,77.85,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
242,Hambantota,LK,78.71,broken clouds,6.1241,81.1185,Bungalow 63
247,Padang,ID,77.04,scattered clouds,-0.9492,100.3543,Mercure Padang
252,Nong Bua,TH,77.52,overcast clouds,15.8646,100.5858,ลภัสรดารีสอร์ท
254,Iralaya,HN,80.67,overcast clouds,15.0,-83.2333,Iglesia morava renovada
255,Gat,IL,78.4,overcast clouds,31.61,34.7642,OlusHome
260,Matara,LK,76.77,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
261,Bonthe,SL,79.7,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
270,Keti Bandar,PK,81.61,clear sky,24.1447,67.4497,Haji laloo memon house
283,Aquiraz,BR,82.49,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
284,Miri,MY,75.34,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
289,Punta Cardon,VE,81.55,overcast clouds,11.6581,-70.215,Bambuda hotel
295,Dwarka,IN,81.95,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
300,Jasper,US,82.45,scattered clouds,37.2001,-94.3502,Guest House Motel
303,Potiskum,NG,89.96,overcast clouds,11.7091,11.0694,Tamir Hotel Ltd
304,Faanui,PF,80.33,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
305,Guinguineo,SN,85.82,clear sky,14.2667,-15.95,
306,Marshall,US,89.65,clear sky,34.3834,-86.3333,Riverview Campground
311,Nha Trang,VN,78.8,overcast clouds,12.25,109.1833,Hanoi Golden Hotel
322,Napasar,IN,86.5,few clouds,27.9667,73.55,Laxmi Palace
323,Kano,NG,89.15,broken clouds,12.0001,8.5167,Royal Tropicana Hotel
324,Gigmoto,PH,81.05,light rain,13.7796,124.39,Cj's Travellers Inn
325,Garowe,SO,83.28,broken clouds,8.4054,48.4845,Curubo Hotel
326,Trincomalee,LK,81.3,scattered clouds,8.5711,81.2335,Welcombe Hotel
328,Panguna,PG,77.94,scattered clouds,-6.3164,155.4848,
329,Pyapon,MM,77.56,light rain,16.2833,95.6833,Aung Naing Thu Motel
330,Isangel,VU,78.91,broken clouds,-19.55,169.2667,Tanna Lodge
339,Aswan,EG,85.26,clear sky,24.0934,32.907,Nuba Nile
342,Madang,PG,80.98,broken clouds,-5.2246,145.7966,Comfort Inn Hotel
344,Arawa,PG,83.52,scattered clouds,-6.2132,155.5367,Coastline Guest House
347,Lahaina,US,87.8,broken clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
348,Arkadelphia,US,88.77,clear sky,34.1209,-93.0538,COLLEGE INN MOTEL
350,Vinh,VN,76.75,overcast clouds,18.6667,105.6667,Vuong Hoan 2
358,Dingle,PH,77.92,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
359,Tagusao,PH,81.18,overcast clouds,9.1924,117.8141,Green Villa beach resort
368,Ixtapa,MX,82.22,clear sky,20.7,-105.2,hotel la terminal
369,Kavieng,PG,82.99,light rain,-2.5744,150.7967,Nusa Island Retreat
372,San Cristobal,VE,80.78,few clouds,7.7669,-72.225,Pirineos
375,Vieux-Habitants,GP,81.97,clear sky,16.0589,-61.7659,Gîtes Dardanelle
381,Kutum,SD,79.57,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
383,Namatanai,PG,82.96,light rain,-3.6667,152.4333,Seagulls Inn Namatani
384,Chino Valley,US,83.41,clear sky,34.7575,-112.4538,Primrose Inn & Suites
391,Dinahican,PH,82.11,overcast clouds,14.7167,121.7167,Blue Pavilion Beach Resort
393,Mahibadhoo,MV,82.09,broken clouds,3.7833,72.9667,Omadhoo Inn
396,Lakatoro,VU,82.78,clear sky,-16.0999,167.4164,Lakatoro Palm Lodge
398,Meulaboh,ID,76.6,overcast clouds,4.1363,96.1285,Kost Pria
400,Sungairaya,ID,78.15,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
406,Paredon,MX,87.04,broken clouds,16.0333,-93.8667,Hotel Principal Paredon
408,Warren,US,87.3,clear sky,39.4334,-84.1666,The Golden Lamb Restaurant & Hotel
409,San-Pedro,CI,77.52,overcast clouds,4.7485,-6.6363,Hotel Maria
416,Rach Gia,VN,83.64,overcast clouds,10.0167,105.0833,Nhà Hàng Hòa Giang
420,Mogadishu,SO,79.5,scattered clouds,2.0371,45.3438,Hotel Juba
421,Kapoeta,SS,82.62,overcast clouds,4.7717,33.5903,Eastgate Hotel
424,Cabedelo,BR,81.27,broken clouds,-6.9811,-34.8339,Hotel Pigalle
426,Laguna,US,83.75,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
436,Balabac,PH,80.91,light rain,7.9868,117.0645,Batalla’s Lodging House
441,Ambon,ID,75.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
447,Pahrump,US,81.25,broken clouds,36.2083,-115.9839,Best Western Pahrump Oasis
449,Thinadhoo,MV,83.01,broken clouds,0.5333,72.9333,
451,Sao Jose Da Coroa Grande,BR,76.32,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
453,Atar,MR,87.21,overcast clouds,20.5169,-13.0499,Oumou Elghoura
454,Wanning,CN,76.77,overcast clouds,18.8003,110.3967,Paradise Hotel
455,Champerico,GT,79.34,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
457,Conde,BR,80.06,light rain,-7.2597,-34.9075,Pousada Beija Flor
460,Chambersburg,US,81.73,overcast clouds,39.9376,-77.6611,"Holiday Inn Express & Suites Chambersburg, an IHG Hotel"
467,Sur,OM,89.37,clear sky,22.5667,59.5289,Sur Plaza Hotel
468,Pala,TD,81.77,broken clouds,9.3642,14.9046,Nectar Hôtel de Pala
472,Ukiah,US,80.85,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
473,Yenagoa,NG,76.33,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
475,Kavaratti,IN,82.44,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
476,Andros Town,BS,82.36,overcast clouds,24.7,-77.7667,Hanks place
484,Bosaso,SO,86.56,scattered clouds,11.2842,49.1816,Red Sea Hotel
488,Sorong,ID,79.41,light rain,-0.8833,131.25,Waigo Splash Hotel
490,Majene,ID,77.77,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
491,Goderich,CA,77.32,overcast clouds,43.7501,-81.7165,Harmony Inn
492,Mitsamiouli,KM,78.85,few clouds,-11.3847,43.2844,Foyer ADM
493,Gamba,GA,76.32,overcast clouds,-2.65,10.0,
494,Contamana,PE,75.99,scattered clouds,-7.3333,-75.0167,Shiringal Touristic Park
495,Tuy Hoa,VN,76.86,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
498,Ashland,US,81.97,overcast clouds,40.8167,-82.2665,SureStay
501,Merauke,ID,80.53,few clouds,-8.4667,140.3333,
502,Acapulco,MX,84.02,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
512,Sabang,ID,83.55,light rain,5.8933,95.3214,Hotel Citra
